fold,relative_path,policy_category,selected_method,selection_source,score,privacy,utility
3,day2/members/luca/10_0654.webp,medium_face,blur,train_fold_category,0.874708023492622,1.0,0.6169417723759193
3,day2/members/luca/11_0416.webp,medium_face,blur,train_fold_category,0.875978062293112,1.0,0.6199168194445289
3,day2/members/luca/12_0565.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
3,day2/members/luca/13_0250.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.8612431215233244,1.0,0.5693345319070939
3,day2/members/luca/14_0016.webp,small_face,blur,train_fold_category,0.8711523143861295,1.0,0.6050151297976061
3,day2/members/luca/14_0354.webp,medium_face,blur,train_fold_category,0.838752037257417,0.9523809523809524,0.57491961300873
3,day2/members/luca/17_0072.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
3,day2/members/luca/17_0249.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
3,day2/members/luca/18_0188.webp,high_clutter,pixelate,train_fold_category,0.9898106306836972,1.0,0.9962885285270932
3,day2/members/luca/18_0197.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
3,day2/members/luca/18_0250.webp,motion_blur_or_low_sharpness,layered_blur_downscale_noise,train_fold_category,0.8707813868986715,1.0,0.594443432970487
3,day2/members/luca/19_0633.webp,mixed_scale_face,layered_blur_downscale_noise,train_fold_category,0.857411970201125,1.0,0.5554460769881571
3,day2/members/luca/20_0211.webp,medium_face,blur,train_fold_category,0.8593082894600005,0.9166666666666666,0.7015975656027473
3,day2/members/tien/12_0007.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.8696850432136868,1.0,0.5912824176256706
3,day2/members/tien/12_0017.webp,medium_face,blur,train_fold_category,0.8099327326163257,0.8333333333333334,0.6771525707285397
3,day2/members/tien/12_0597.webp,medium_face,blur,train_fold_category,0.8875339722132896,1.0,0.658694237062369
3,day2/members/tien/13_0043.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
3,day2/members/tien/13_0604.webp,medium_face,blur,train_fold_category,0.8080906419821813,0.8666666666666667,0.6132660504815873
3,day2/members/tien/18_0209.webp,motion_blur_or_low_sharpness,layered_blur_downscale_noise,train_fold_category,0.8760345394166836,1.0,0.6112135280734706
3,day2/members/tien/19_0311.webp,motion_blur_or_low_sharpness,layered_blur_downscale_noise,train_fold_category,0.7906209538762142,0.8333333333333334,0.6049226812749638
3,day2/members/tien/19_0472.webp,mixed_scale_face,layered_blur_downscale_noise,train_fold_category,0.8160715785647242,0.9583333333333334,0.49025617678761096
